年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2012,1,5,木,いちご,46100,,,840793,1525,1360.9,74.1
2012,1,5,木,いちご,46100,栃　木,9.0,169472,1273,,
2012,1,5,木,いちご,46100,福　岡,40.0,163334,1824,,
2012,1,5,木,いちご,46100,愛　知,23.0,98791,1489,,
2012,1,6,金,いちご,46100,,,528012,1377,62.8,90.3
2012,1,6,金,いちご,46100,栃　木,9.0,211323,1204,,
2012,1,6,金,いちご,46100,福　岡,40.0,84839,1784,,
2012,1,6,金,いちご,46100,静　岡,22.0,41074,1594,,
2012,1,7,土,いちご,46100,,,317676,1292,60.2,93.8
2012,1,7,土,いちご,46100,栃　木,9.0,108787,1112,,
2012,1,7,土,いちご,46100,福　岡,40.0,52294,1669,,
2012,1,7,土,いちご,46100,長　崎,42.0,33232,1220,,
2012,1,9,月,いちご,46100,,,667,1466,0.1,106.5
2012,1,9,月,いちご,46100,宮　崎,45.0,300,1470,,
2012,1,9,月,いちご,46100,福　岡,40.0,284,1493,,
2012,1,10,火,いちご,46100,,,549611,1234,******,84.2
2012,1,10,火,いちご,46100,栃　木,9.0,155957,1044,,
2012,1,10,火,いちご,46100,福　岡,40.0,91340,1630,,
2012,1,10,火,いちご,46100,長　崎,42.0,54955,1170,,
2012,1,11,水,いちご,46100,,,243756,1212,44.4,98.2
2012,1,11,水,いちご,46100,栃　木,9.0,68910,1038,,
2012,1,11,水,いちご,46100,福　岡,40.0,43301,1587,,
2012,1,11,水,いちご,46100,長　崎,42.0,25744,1111,,
2012,1,12,木,いちご,46100,,,250483,1215,102.8,100.2
2012,1,12,木,いちご,46100,栃　木,9.0,84008,1105,,
2012,1,12,木,いちご,46100,福　岡,40.0,40338,1517,,
2012,1,12,木,いちご,46100,長　崎,42.0,25944,1147,,
2012,1,13,金,いちご,46100,,,230214,1198,91.9,98.6
2012,1,13,金,いちご,46100,栃　木,9.0,71516,1045,,
2012,1,13,金,いちご,46100,福　岡,40.0,36528,1525,,
2012,1,13,金,いちご,46100,長　崎,42.0,22430,1114,,
2012,1,14,土,いちご,46100,,,257579,1195,111.9,99.7
2012,1,14,土,いちご,46100,栃　木,9.0,75920,1034,,
2012,1,14,土,いちご,46100,福　岡,40.0,38810,1497,,
2012,1,14,土,いちご,46100,愛　知,23.0,24240,1142,,
