iter	Passed	Remaining
0	59	59141	1	102	51047
2	144	47972
3	1554	1924	4	222	44319
5	2256	2396	6	272	38587	7	273	38	28	359	39597
9	473	46832
10	474	42697
11	477	39274
12	499	37935
13	528	37232
14	557	36622
15	560	34490
1616	609	35241717	612	33411818	652	33700
19	658	32272020	734	34259
21	764	34003
22	768	32664
23	891	36235
24	893	34864
25	1029	38575
26	1099	39607
27	1102	38267
28	1110	37166
29	1192	38546
30	1245	38925
31	1247	37747
32	1305	38251
33	1308	37185
34	1333	36777
35	1413	37838
36	1422	37018
37	1442	36507
38	1445	35613
39	1520	36492
40	1523	35646
41	1526	34810
42	1595	35506
43	1627	35363
44	1685	35767
45	1741	36114
46	1744	35365
47	174748	177748	1827	35462
49	1829	34767
50	1832	34107
51	1836	33474
52	1839	32861
53	184254	188054	1914	32892
55	1927	32496
56	193057	1963	31882
58	204258	2033	32429
59	207760	210460	2123	32680
61	2234	33810
62	2237	33273
63	2301	33652
64	2303	33132
65	2313	32738
66	2316	32255
67	2397	32859
68	2399	32376
69	240370	2441	31941
71	2501	32237
72	2540	32258
73	254273	2550	31909
74	2551	31469
75	255476	260076	260877	266077	2670	31572
78	2705	31543
79	2739	31500
80	2771	31443
81	2824	31623
82	2891	31941
83	2893	31552
84	2896	31183
85	2899	30819
86	2904	30482
87	2908	30143
88	2926	29953
89	2975	30080
90	2976	29729
91	3017	29782
92	3068	29924
93	3097	29857994	3199	30481
95	3232	30435
96	3293	30657
97	3295	30327100	3337	29703
99	3359	30232
1102	3398	29595
103	3407	29354102	3574	31126
103	3575	30806
104	3630	30945
105	3634	30654
106	3682	30737
107	3774	31170
108	3778	30882
109	3838	31060
110	3841	30762
111	3843	30472
112	3890	30537
113	3895	30274
114	3987	30689
115	3991	30416
116	4029	30410
117	4035	30162
118	4121	30515
119	4167	30562
120	4176	30340
121	4195	30194
122	4271	30456
123	4274	30195
124	4277	29939
125	4390	30452
126	4406	30292
127	4415	30079
128	4421	29851
129	4434	29677
130	4444	29479
131	4455	29298
132	4536	29575
133	4549	29403
134	4603	29496
135	4644	29507
136	4647	29273
137	4650	29047
138	4675	28961
139	4735	29088
140	4737	28863
141	4740	28643
142	4743	28426
143	4804	28558
144	4806	28340
145	4808146	4899	28430
147	4902	28222
148	4936	28192
149	5085	28815
150	5097	28663
151	5200	29012
152	5288	29279
153	5299	29114
154	5301	28899
155	5441	29441
156	5455	29290
157	5459	29095
158	5486	29021
159	5578	29289
160	5584	29102
161	5622	29081
162	5629	28907
163	5748	29300
164	5778	29240
165	5795	29119
166	5869	29274
167	5899	29215
168	5918	29100
169	5955	29077
170	5957	28880
171	6026	29013
172	6039	28869
173	6060	28769
174	6210	29278
175	6257	29297
176	6270	29154
177	6372	29427
178	6374	29238
179	6376	29048
180	6432	29104
181	6436	28928
182	6639	29641
183	6641	29455
184	6644	29271
185	6706	29348
186	6708	29164
187	6710	28983
188	6712	28803
189	6776	28891
190	6780	28718
191	6783	28546
192	6898	28846
193	6914	28725
194	7019	28976
195	7023	28811
196	7028	28647
197	7031	28482
198	7045	28360
199	7115	28462
200	7117	28294
201	7219	28520
202	7226	28372
203	7319	28558
204	7320	28388
205	7322	28222
206	7325	28061
207	7384	28119
208	7388	27963
209	7453	28038
210	7455	27877
